NEAR,220200000.0,10.278832315546431
MRO,740000000.0,5.049020983970296
Messanger,240000000.0,5.357833051521952
Stardust ,206200000.0,4.360870410315862
Cassini,2442100000.0,6.0233884607055295
ACE,250000000.0,6.563656202338245
Triana,276000000.0,3.0538354090328212
SOHO,1366000000.0,6.094512614870746
STEREO,643000000.0,4.287704619838764
SDO,1104000000.0,2.045423575703828
Aqua,1450000000.0,6.421635404019365
fermi glast,274000000.0,3.1622336309253307
TRMM,530280000.0,4.530406674941849
Terra,1365000000.0,6.248471864988625
